facility,neighborhood,type,predom_eth_1979,location
Fourth Ward,FOURTH WARD,Incinerator,Black,Southwest
Patterson Street,WEST END/COTTAGE GROVE,Incinerator,Black,Northwest
Kelly Street,KASHMERE GARDENS,Incinerator,Black,Northeast
Holmes Road,SUNNYSIDE,Incinerator,Black,Southeast
Velasco,SECOND WARD,Incinerator,Hispanic,Southeast
Westpark,LARCHMONT,Mini-incinerator,White,Sothwest
Kelly Street,KASHMERE GARDENS,Mini-incinerator,Black,Northeast
Northwest Service Center,CARVERDALE,Mini-incinerator,Black,Northwest
Fourth Ward,FOURTH WARD,Landfill,Black,Southwest
Sunnyside,SUNNYSIDE,Landfill,Black,Southeast
Reed Road,SUNNYSIDE,Landfill,Black,Southeast
Kirkpatrick,TRINITY GARDENS,Landfill,Black,Northeast
West Donnovan,ACRES HOMES,Landfill,Black,Northwest